Species;Category;Time
abeille;pollinisateur;07/06/2022 13:05
coccinelle;coleopteres;15/09/2022 22:44
papillon;pollinisateur;17/08/2022 17:08
;;13/07/2022 08:45
;;12/09/2022 03:22
abeille;pollinisateur;06/05/2022 18:40
chenille;holometaboles;29/05/2022 18:40
mouche;dipteres;30/06/2022 18:53
chenille;holometaboles;14/07/2022 09:18
;;28/07/2022 16:04
papillon;pollinisateur;28/05/2022 00:37
mouche;dipteres;20/08/2022 04:32
;;31/08/2022 04:43
papillon;pollinisateur;17/08/2022 06:30
papillon;pollinisateur;23/07/2022 10:19
chenille;holometaboles;17/09/2022 20:05
papillon;pollinisateur;24/04/2022 21:58
abeille;pollinisateur;02/05/2022 21:37
chenille;holometaboles;22/04/2022 05:14
;;03/08/2022 22:52
coccinelle;coleopteres;30/06/2022 03:25
criquet;orthopteres;24/06/2022 06:08
coccinelle;coleopteres;29/08/2022 12:53
abeille;pollinisateur;25/06/2022 13:02
abeille;pollinisateur;11/04/2022 11:49
coccinelle;coleopteres;30/08/2022 08:18
coccinelle;coleopteres;05/05/2022 11:06
;;17/04/2022 11:58
;;14/04/2022 17:31
criquet;orthopteres;23/05/2022 14:41
chenille;holometaboles;09/06/2022 18:14
papillon;pollinisateur;13/09/2022 16:50
abeille;pollinisateur;12/04/2022 17:35
coccinelle;coleopteres;08/07/2022 06:38
chenille;holometaboles;15/06/2022 19:22
chenille;holometaboles;02/06/2022 05:33
;;26/09/2022 06:17
papillon;pollinisateur;01/09/2022 19:52
;;24/04/2022 19:58
chenille;holometaboles;10/08/2022 13:26
chenille;holometaboles;28/04/2022 14:48
coccinelle;coleopteres;13/07/2022 06:15
;;25/04/2022 03:14
mouche;dipteres;25/06/2022 05:42
coccinelle;coleopteres;24/09/2022 13:00
mouche;dipteres;07/06/2022 19:12
criquet;orthopteres;14/05/2022 12:52
mouche;dipteres;21/05/2022 11:17
;;20/06/2022 05:10
coccinelle;coleopteres;21/09/2022 01:54
papillon;pollinisateur;25/07/2022 11:13
;;18/06/2022 06:01
abeille;pollinisateur;12/08/2022 13:30
criquet;orthopteres;15/06/2022 02:52
papillon;pollinisateur;01/04/2022 23:41
mouche;dipteres;30/05/2022 04:53
mouche;dipteres;20/08/2022 04:20
;;07/05/2022 08:10
criquet;orthopteres;01/09/2022 03:21
criquet;orthopteres;12/05/2022 11:35
mouche;dipteres;04/05/2022 01:41
coccinelle;coleopteres;25/04/2022 08:29
chenille;holometaboles;05/08/2022 02:32
papillon;pollinisateur;09/04/2022 16:30
mouche;dipteres;22/08/2022 20:26
chenille;holometaboles;05/08/2022 01:40
chenille;holometaboles;22/07/2022 01:44
mouche;dipteres;14/09/2022 07:55
abeille;pollinisateur;12/08/2022 16:20
;;23/06/2022 05:34
chenille;holometaboles;19/07/2022 17:16
chenille;holometaboles;10/04/2022 14:37
chenille;holometaboles;03/09/2022 09:20
chenille;holometaboles;05/06/2022 11:56
;;04/08/2022 04:35
papillon;pollinisateur;28/09/2022 02:00
;;13/05/2022 00:31
abeille;pollinisateur;27/09/2022 07:46
papillon;pollinisateur;10/07/2022 23:25
criquet;orthopteres;09/08/2022 22:52
coccinelle;coleopteres;01/08/2022 20:49
;;01/07/2022 18:35
abeille;pollinisateur;27/08/2022 13:33
criquet;orthopteres;18/06/2022 05:46
mouche;dipteres;06/07/2022 16:35
papillon;pollinisateur;04/05/2022 06:26
abeille;pollinisateur;07/09/2022 23:25
mouche;dipteres;19/06/2022 01:58
mouche;dipteres;28/05/2022 02:26
criquet;orthopteres;22/06/2022 00:12
;;24/06/2022 15:55
abeille;pollinisateur;28/05/2022 03:36
mouche;dipteres;09/09/2022 20:12
coccinelle;coleopteres;12/08/2022 04:21
chenille;holometaboles;16/05/2022 05:59
mouche;dipteres;10/06/2022 02:09
chenille;holometaboles;06/05/2022 02:25
